what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363895989089
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363896064078
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896070256
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363896070287
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1363896088197
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1363896088306
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363896088322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896094359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896114144
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1363896121335
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896121413
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1363896121413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896137887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896140258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896140414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896237537
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363896240606
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896257440
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896257521
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363896262468
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896272023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896272108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896274958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896276843
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363896283748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896329360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896419733
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896599906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896619537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896621649
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363896623103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896630775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896697299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896703649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896706742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1363896706758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363896713211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363896851235
