what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363914873450
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363914924710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363914928139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363914963390
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363914963423
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363914988358
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363915007951
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363915011543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915014207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915016702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915017436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915030703
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363915030736
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363915039599
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363915069388
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363915071596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915075645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915077489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915078081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915321822
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363915321854
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363915330467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915364799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915366762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915367264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915385300
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363915395345
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363915406378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915429455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363915429555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1363915436857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363915502320
