what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1363832818833
arch,sysinfo,,,"x86",1363832818833
ws,sysinfo,,,"win32",1363832818833
locale,sysinfo,,,"en_029",1363832818833
processors,sysinfo,,,"2",1363832818833
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363832818833
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1363832818833
java.specification.name,sysinfo,,,"Java Platform API Specification",1363832818833
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363832818833
java.specification.version,sysinfo,,,"1.7",1363832818833
java.vendor,sysinfo,,,"Oracle Corporation",1363832818833
java.version,sysinfo,,,"1.7.0_11",1363832818833
java.vm.info,sysinfo,,,"mixed mode, sharing",1363832818833
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363832818833
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363832818833
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363832818833
java.vm.specification.version,sysinfo,,,"1.7",1363832818833
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363832818833
java.vm.version,sysinfo,,,"23.6-b04",1363832818833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832832029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832834762
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363832836582
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363832842752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832848306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832852283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832861330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832868704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832883190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363832896456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833375884
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1363833398711
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1363833398822
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1363833398891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833398966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833403861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833404068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833406099
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363833411805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363833411891
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1363833411923
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1363833412618
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363833414940
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363833414941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833427807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833430238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1363833466015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1363833467082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833473843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363833475761
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1363833479208
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1363833479245
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1363833480398
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1363833480408
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1363833482194
