what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974212926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974215127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974217100
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363974285540
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974291966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974294478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974307604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1363974307616
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363974310228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974319074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974323706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974323823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974323915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974342661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974346623
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974346751
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974346846
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974363374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974384277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974411727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363974413481
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974445298
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1363974447221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1363974450573
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1363974451889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363974455125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974463791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974501057
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974504202
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974522398
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974529134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1363974549407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974570669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1363974576262
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1363974580613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974581513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974601880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974633890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974669400
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1363974686102
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974703110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363974712058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974721785
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363974734051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974736105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974736354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363974749763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1363974763352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363974764211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363974766227
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974769441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363974770611
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363974773946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363974774936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1363974789761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974792238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974794168
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363974797331
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974854418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1363974880064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974882095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974884360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974884484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974892113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974897072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974899015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974899463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974901255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974901309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974905588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1363974910475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974913663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974915907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974916496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974918228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974918250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974924724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974934819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974936589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974937052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974938811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974938859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974940860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974949000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974950926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974951436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974953142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974953182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974954315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974960943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974962858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974963321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363974965364
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363974969496
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363974978275
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363975231201
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363975260804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363975385328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363975391210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363982581580
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1364040829265
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1364040829267
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1364040829270
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1364040829289
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1364040829307
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1364040829325
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1364040829340
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1364040829352
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1364040829402
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1364040829426
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1364040829443
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1364040829455
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1364040829468
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1364040829481
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1364040829511
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1364040829531
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1364040829557
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1364040829592
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1364040829615
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1364040829714
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1364040829762
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1364040829790
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1364040829827
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1364040829855
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1364040829895
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1364040829919
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1364040829947
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1364040829969
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1364040829991
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1364040830012
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1364040830029
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1364040830048
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1364040830058
