what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1363906105935
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1363906105937
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1363906105957
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1363906105959
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1363906105961
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1363906105962
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1363906105982
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363906105984
os,sysinfo,,,"win32",1363906105991
arch,sysinfo,,,"x86",1363906105991
ws,sysinfo,,,"win32",1363906105991
locale,sysinfo,,,"en_029",1363906105991
processors,sysinfo,,,"2",1363906105992
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363906105992
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1363906105992
java.specification.name,sysinfo,,,"Java Platform API Specification",1363906105992
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363906105992
java.specification.version,sysinfo,,,"1.7",1363906105992
java.vendor,sysinfo,,,"Oracle Corporation",1363906105992
java.version,sysinfo,,,"1.7.0_11",1363906105992
java.vm.info,sysinfo,,,"mixed mode, sharing",1363906105992
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363906105992
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363906105992
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363906105992
java.vm.specification.version,sysinfo,,,"1.7",1363906105992
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363906105992
java.vm.version,sysinfo,,,"23.6-b04",1363906105992
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1363906106153
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1363906107754
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1363906108635
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1363906109397
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363906116339
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1363906116360
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1363906116371
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1363906116849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906144645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906212210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1363906212226
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1363906213326
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1363906213520
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906215194
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906228273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906228401
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363906255926
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906292200
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906307533
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906307669
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1363906311573
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1363906312308
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1363906312627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906312850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906329169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906329392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906334451
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1363906334787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906335530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906349098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906349130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906352974
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906359852
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906368276
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906372944
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906373303
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906373441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906389365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906391291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906391758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906397658
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906411879
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906420332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906423147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906424910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906425381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906431680
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363906431723
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906437572
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906437668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906453471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906754546
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363906765838
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1363906768077
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1363906774639
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906774958
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906774997
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906775011
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363906775071
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.openProject",1363906782842
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1363906789975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906791340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906793226
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1363906793237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1363906793237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363906795403
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907069720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907069921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907069966
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907094997
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907094998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907108047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907150276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907159205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907202230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1363907202238
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363907204442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907256548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907261511
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907307394
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907307489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907316879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907331301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1363907331311
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363907340876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907350442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907352672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907353137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907353340
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363907362693
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907370965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907377821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907391213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907394533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907426669
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363907426707
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907426854
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363907426937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907460061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363907463689
