what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842579780
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842579869
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363842614129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363842636835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842641756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842643791
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363842647127
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842672565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842695884
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842704838
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842705248
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842705343
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842734928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842741352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363842744236
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1363842744244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363842744244
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842753030
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842753108
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842761738
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842795841
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842795931
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842802719
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842814200
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842814278
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842841336
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842841504
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842841587
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842866727
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842896891
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842896976
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363842952490
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842964444
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363842964523
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363843016195
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843019902
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843019978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843026362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843047391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843047445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843051296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843053885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843069010
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843071497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843082747
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363843087395
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843099086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843167228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843298980
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363843303042
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843304851
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843304928
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363843309065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363843317030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843352637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843368267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843368311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843373808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843387904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843391438
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843391475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843396069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843399038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843404651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843404706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843408395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843408419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843408607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843408642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843420085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843420123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843424880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843424918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843432039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843432068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843443021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843443046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843454319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843454348
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843461604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843461647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363843504805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843574413
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843576507
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843580131
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843585930
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1363843630004
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843649617
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363843661864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363843682870
