what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363881397555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363881398567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363881497019
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363881637034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363881643183
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363881656008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363881807479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363881812060
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1363881915587
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363881918668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1363881929433
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1363881932392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363881947120
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363881989287
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363881991238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882013977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882018551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882018626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882022363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882022411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882026457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882026505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882030385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882030434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882031924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882031972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882073826
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882073866
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882087846
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882121991
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882122317
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882124591
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882124775
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882146944
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882155662
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882157745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882163530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882165936
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882165985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882167541
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882181868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882186341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882188761
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882188803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882189741
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882201495
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882210664
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363882233978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882238604
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882240453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882240801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882242999
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882243042
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882265775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1363882289990
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882292065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882294972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882298361
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882298404
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882307765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882313279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882313666
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882313885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882314104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882314306
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882314779
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363882323243
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1363882336283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882338066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363882341397
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363882353742
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882359038
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1363882359181
